2020/02/14 09:36:13 [error] 6#6: *9 open() "/static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:36:13 [error] 6#6: *8 open() "/static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:36:13 [error] 6#6: *9 open() "/static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:36:13 [error] 6#6: *9 open() "/static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:36:13 [error] 6#6: *8 open() "/static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:36:33 [error] 6#6: *8 open() "/static/app_ckeiba/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_ckeiba/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_autorace/"
2020/02/14 09:38:19 [error] 6#6: *16 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:19 [error] 6#6: *17 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:19 [error] 6#6: *20 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:21 [error] 6#6: *20 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:21 [error] 6#6: *17 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:21 [error] 6#6: *16 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *16 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *17 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *20 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *20 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *17 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:38:22 [error] 6#6: *16 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:04 [error] 6#6: *1 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:04 [error] 6#6: *2 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:04 [error] 6#6: *4 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:07 [error] 6#6: *4 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:07 [error] 6#6: *2 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:42:07 [error] 6#6: *1 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:44:09 [error] 6#6: *5 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:44:09 [error] 6#6: *6 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:44:09 [error] 6#6: *8 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
